,ResponseId,Q409,eBMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,name,value,stim,rating,pre_post,stim_type
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X20_Q454,5,20,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X21_Q454,7,21,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X22_Q454,5,22,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X23_Q454,3,23,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X24_Q454,6,24,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X25_Q454,2,25,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X26_Q454,4,26,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X27_Q454,4,27,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X28_Q454,4,28,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X29_Q454,3,29,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X30_Q454,2,30,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X31_Q454,3,31,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X32_Q454,4,32,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X33_Q454,4,33,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X34_Q454,2,34,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X35_Q454,2,35,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X36_Q454,2,36,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X37_Q454,3,37,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X38_Q454,2,38,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X39_Q454,2,39,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X40_Q454,4,40,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X41_Q454,3,41,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X42_Q454,4,42,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X43_Q454,2,43,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X44_Q454,5,44,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X45_Q454,8,45,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X46_Q454,5,46,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X47_Q454,5,47,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X48_Q454,2,48,liking,post,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X1_Q402,4,1,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X2_Q402,5,2,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X3_Q402,4,3,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X4_Q402,3,4,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X5_Q402,3,5,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X6_Q402,2,6,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X7_Q402,2,7,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X8_Q402,2,8,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X9_Q402,3,9,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X10_Q402,4,10,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X11_Q402,3,11,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X12_Q402,2,12,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X13_Q402,3,13,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X14_Q402,5,14,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X15_Q402,5,15,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X16_Q402,3,16,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X17_Q402,2,17,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X18_Q402,3,18,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X19_Q402,3,19,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X20_Q402,3,20,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X21_Q402,4,21,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X22_Q402,1,22,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X23_Q402,2,23,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X24_Q402,3,24,speech,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X25_Q402,1,25,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X26_Q402,3,26,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X27_Q402,3,27,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X28_Q402,4,28,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X29_Q402,2,29,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X30_Q402,2,30,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X31_Q402,2,31,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X32_Q402,2,32,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X33_Q402,2,33,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X34_Q402,3,34,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X35_Q402,3,35,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X36_Q402,3,36,speech,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X37_Q402,2,37,speech,pre,control
