,ResponseId,Q409,eBMRQ_total,BMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,location
172,R_3ssPy37tbYHzawJ,Laurel,94,76,17,15,17,16,11,18,4.054054054,3.555555556,4.444444444,3.5,4.142857143,4.666666667,3.888888889,142,24,3,2,1,0,7,4,3,3,0,0,17,boston
173,R_3Ubf5t6GnRNsejO,Laurel,116,97,20,20,20,18,19,19,5.864864865,5.888888889,6.555555556,3.333333333,6.142857143,7,5.166666667,150,4,0,2,0,1,1,0,0,0,0,0,3,boston
174,R_3umF8emyv55304N,Yanny,80,67,12,7,16,17,15,13,4.486486486,3.333333333,6.111111111,3.666666667,4.142857143,5,3.888888889,94,24,2,2,4,0,5,2,4,3,1,1,19,boston
175,R_3UQye3y9MXlLLwd,Yanny,94,80,18,15,20,12,15,14,3.756756757,4.333333333,4.333333333,1.333333333,4,4.166666667,3.333333333,105,16,1,1,4,1,4,0,4,1,0,0,12,boston
176,R_3v6LWVofOBCFDMA,Yanny,98,79,15,14,20,15,15,19,5.621621622,4.333333333,6.888888889,3.833333333,6,7,5.166666667,134,5,1,1,2,0,0,0,1,0,0,0,5,boston
177,R_3VrWgOq5aoo6U5n,Yanny,58,49,8,15,9,8,9,9,3.324324324,3.777777778,3.444444444,2.333333333,3.285714286,3.5,2.944444444,56,9,1,1,2,0,4,1,0,0,0,0,5,boston
178,R_3W289X045Jd7oRj,Laurel,114,94,19,20,20,15,20,20,5.756756757,4.888888889,6.777777778,5.666666667,5.428571429,6,5.5,165,4,2,0,1,0,0,0,1,0,0,0,4,boston
179,R_3X57tTBugCpPEv2,Yanny,112,97,20,17,20,20,20,15,5.459459459,6.333333333,6.666666667,1,5.285714286,7,4.333333333,137,9,0,0,3,0,5,0,1,0,0,0,4,boston
180,R_3XH0ooG0sjqITnP,Laurel,83,69,11,17,17,15,9,14,3.27027027,2.777777778,4.555555556,1.166666667,2.857142857,4.666666667,2.111111111,94,23,2,2,4,1,4,2,7,0,0,1,19,boston
181,R_3Y8FTTKviktyz18,Yanny,65,59,11,14,16,6,12,6,3.783783784,2.444444444,5.555555556,2.333333333,3.285714286,5.166666667,2.944444444,72,23,0,1,6,1,4,4,4,1,0,2,19,boston
182,R_3YiavcNfa0RsbXA,Yanny,98,82,19,13,18,15,17,16,5.621621622,5.222222222,6.333333333,6,4.285714286,6.333333333,5.555555556,123,6,0,0,3,0,0,0,1,2,0,0,6,boston
183,R_3z8ZYt9D7wZj5l5,Yanny,93,82,20,12,20,16,14,11,3.297297297,3.666666667,3,2.333333333,1.857142857,5.833333333,2.444444444,106,9,0,2,1,0,5,0,1,0,0,0,4,boston
184,R_3zF7mENRV5GEwPD,Laurel,111,99,19,20,20,20,20,12,4.567567568,6.111111111,3.444444444,3.666666667,3.142857143,6.5,4.388888889,93,24,2,3,3,0,5,4,2,3,1,1,19,boston
185,R_41gIm5YscdHblwJ,Laurel,96,82,20,20,20,12,10,14,3.135135135,1.666666667,3.555555556,2,3.857142857,5,2.611111111,106,8,0,0,3,0,2,0,1,2,0,0,6,boston
186,R_42LvdZaXCgZ7ZEw,Yanny,111,91,19,20,20,16,16,20,5.540540541,6.111111111,5,4.833333333,5.714285714,6,5.277777778,167,29,2,3,9,1,3,5,4,0,0,2,26,boston
187,R_442ScwZki1kT55G,Yanny,101,89,19,20,20,16,14,12,4.702702703,4.333333333,5.333333333,1.166666667,5.857142857,6.5,3.944444444,112,7,1,0,1,0,4,0,1,0,0,0,3,boston
188,R_446Ep6xJEF6ILr9,Yanny,94,82,20,16,17,13,16,12,4.405405405,3,4.888888889,4.333333333,4.428571429,5.833333333,4.166666667,101,16,1,1,6,1,4,0,2,0,0,1,12,boston
189,R_4a8IbeHTJkqgLe1,Yanny,92,76,18,10,19,16,13,16,4.135135135,3.777777778,4.111111111,2.666666667,4.428571429,5.833333333,3.444444444,130,15,1,1,3,1,2,1,3,2,0,1,13,boston
190,R_4DCIOFQ9BZFklP2,Yanny,103,87,18,17,18,19,15,16,4.243243243,4.333333333,4.555555556,2.166666667,4.714285714,5.166666667,3.777777778,118,10,0,0,1,0,5,1,2,1,0,0,5,boston
191,R_4nN5lzRSZPgibXH,Yanny,93,78,15,15,20,14,14,15,4.108108108,4.111111111,4.777777778,3.5,3,5,3.333333333,123,12,1,1,5,0,1,1,1,1,0,1,11,boston
192,R_4OiDn2uxaocBPzI,Laurel,96,83,15,17,18,18,15,13,4.486486486,4.111111111,5.333333333,2.5,4.285714286,6,4.166666667,113,16,1,4,2,1,3,1,1,0,1,1,13,boston
193,R_4ovqn1RDtHAtsyt,Yanny,114,96,16,20,20,20,20,18,5.378378378,3.888888889,6.555555556,5,6.285714286,5.166666667,4.888888889,141,9,0,1,5,0,1,0,1,1,0,0,8,boston
194,R_4wQVi6sDpS78i8S,Yanny,94,87,11,19,20,18,19,7,3.297297297,3.111111111,4.111111111,1.333333333,3.285714286,4.333333333,2.5,102,10,1,1,3,0,4,0,1,0,0,0,6,boston
