,ResponseId,Q409,eBMRQ_total,BMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,location
257,R_64l6vlBPO24Kd2F,Yanny,94,82,16,20,17,12,17,12,5.054054054,3.777777778,6.222222222,5,4.285714286,6.166666667,4.555555556,105,10,2,0,2,0,0,0,2,2,0,1,10,boston
258,R_6anmsSlZiHGzUBc,Yanny,80,64,14,12,17,13,8,16,3.72972973,3.555555556,4.222222222,2.166666667,3.428571429,5.166666667,3.222222222,110,11,1,1,1,0,4,2,0,1,0,1,7,boston
259,R_6dNplrkVK1tDLuu,Yanny,65,58,20,4,16,8,10,7,2.162162162,1.333333333,2.555555556,1,1.857142857,4.333333333,1.611111111,43,17,1,1,3,0,7,1,3,0,0,1,10,boston
260,R_6EAT2rj7ghNPPSF,Laurel,94,76,18,9,20,16,13,18,3.675675676,2.888888889,4.222222222,1,4.571428571,5.666666667,3,130,21,0,2,6,1,3,2,4,2,0,1,18,boston
261,R_6gRULGparNunVO8,Laurel,79,67,16,9,18,15,9,12,3.675675676,3.888888889,5.333333333,1,2.285714286,5.166666667,2.5,102,10,0,0,2,0,3,0,2,2,0,1,7,boston
262,R_6HjJE2L08vCKwox,Yanny,87,78,16,17,16,14,15,9,3.648648649,3.333333333,4.111111111,1.666666667,4.428571429,4.5,2.888888889,71,10,0,2,3,1,0,0,2,2,0,0,10,boston
263,R_6hnz9IP0Ck5xslY,Yanny,108,91,19,19,20,15,18,17,4.918918919,4.222222222,5.777777778,4.166666667,4.285714286,6.166666667,4.277777778,143,8,0,1,1,1,3,0,0,2,0,0,5,boston
264,R_6mDwOCxgaJOrMmV,Laurel,96,88,20,20,20,12,16,8,3.945945946,4.777777778,5.666666667,1,3.142857143,4,2.666666667,122,17,0,2,2,1,4,2,4,2,0,0,13,boston
265,R_6PNxlgvAdpw9TG9,Yanny,96,83,17,20,17,16,13,13,3.675675676,3.333333333,4.777777778,1.166666667,3.285714286,5.5,3.111111111,105,13,2,2,2,0,2,1,1,2,0,0,11,boston
266,R_6pVOh1eFlvqTnXV,Laurel,78,63,18,14,15,11,5,15,3.567567568,3.444444444,4.111111111,2,2.714285714,5.5,2.777777778,107,27,1,3,4,1,4,1,8,2,1,1,23,boston
267,R_6QzwKvR7gh5P47n,Yanny,83,75,14,10,20,18,13,8,4.540540541,4.333333333,6.111111111,1,4.857142857,5.666666667,3.777777778,113,16,3,0,4,1,4,0,4,0,0,0,12,boston
268,R_6r2GXHgMBk7iKBP,Yanny,99,86,18,19,17,16,16,13,5.351351351,3.888888889,6.888888889,3.666666667,6,6.166666667,4.944444444,110,11,1,1,2,1,2,1,0,2,0,0,9,boston
269,R_6RJHhog6d04Fp3H,Yanny,110,96,20,19,20,19,18,14,3.972972973,4.111111111,4,3.166666667,4.428571429,4,3.777777778,124,19,1,2,2,0,3,5,3,2,0,1,16,boston
270,R_6Suc4RekJVF7CDB,Yanny,100,83,20,16,17,15,15,17,5.216216216,4.111111111,6.555555556,3,5.571428571,6.666666667,4.444444444,137,4,0,0,0,0,3,0,1,0,0,0,1,boston
271,R_6t8Ua9nKU5Lt56P,Yanny,105,85,19,18,20,10,18,20,5.189189189,4.444444444,6.111111111,3.333333333,5.285714286,6.666666667,4.666666667,148,22,0,1,5,1,3,6,2,2,1,1,19,boston
272,R_6ZOKcmh84yJG9Dj,Yanny,93,82,19,15,18,15,15,11,4.378378378,4.555555556,5.666666667,1.833333333,3.428571429,5.833333333,3.222222222,107,6,0,0,1,0,3,1,0,0,0,0,3,boston
273,R_70MXVHFbvRRTMXq,Yanny,100,86,17,19,20,16,14,14,4.702702703,4.222222222,6,3.166666667,4.142857143,5.666666667,4.277777778,117,9,0,1,0,0,1,0,5,2,0,0,8,boston
274,R_70r9tTVOPcBcCmn,Yanny,78,71,13,18,16,10,14,7,3.864864865,2.111111111,6.777777778,1.166666667,3.857142857,4.833333333,2.888888889,61,24,3,1,7,0,3,2,4,2,0,1,21,boston
275,R_72lVzVPtI9GcpZU,Yanny,89,73,18,12,18,11,14,16,4.405405405,2.111111111,6,3.5,5.571428571,5,3.944444444,120,11,1,2,2,0,1,0,2,2,0,1,10,boston
276,R_72nj4YVnv355gKG,Laurel,93,77,18,16,18,12,13,16,3.432432432,1.777777778,5.333333333,1,3.142857143,5.833333333,2.333333333,131,22,2,1,6,0,4,3,1,3,1,1,18,boston
277,R_73CI0ErEe3BxNxy,Yanny,79,69,18,8,16,10,17,10,5.594594595,3.888888889,6.666666667,5.833333333,5.571428571,6.333333333,5.111111111,88,13,2,1,4,0,1,0,2,2,0,1,12,boston
278,R_73WgzIjQpX4mXho,Laurel,109,93,20,20,17,17,19,16,5.216216216,5,6.222222222,3.666666667,4.571428571,6.333333333,4.666666667,126,8,1,1,3,0,2,0,0,0,0,1,6,boston
279,R_779bljciiMTjjq1,Yanny,102,85,19,17,18,17,14,17,4.216216216,4.666666667,5.333333333,1.333333333,3.142857143,6,3,128,11,0,0,4,0,2,0,1,3,0,1,9,boston
280,R_7aItqfBwXDKbYBP,Laurel,97,77,19,12,18,12,16,20,4.594594595,4.444444444,4.888888889,2.333333333,6.142857143,4.833333333,4.333333333,138,24,1,1,4,1,6,3,4,2,1,0,18,boston
281,R_7B4CBvWrquoxavv,Yanny,79,67,12,12,17,14,12,12,3.405405405,3,4.666666667,1.833333333,2.714285714,4.5,2.388888889,97,20,2,1,5,0,2,2,4,2,0,1,18,boston
282,R_7BWWFO7Ucj3IrUX,Yanny,101,84,18,16,19,18,13,17,4.675675676,4.888888889,4.888888889,3,4.857142857,5.5,4.277777778,123,16,0,1,3,0,2,2,4,3,0,0,14,boston
283,R_7C9Bu9tgaxR9L5j,Yanny,98,84,19,20,18,10,17,14,3.945945946,3,5,1.166666667,3.857142857,6.666666667,3.166666667,141,16,1,1,3,1,3,1,5,0,0,1,13,boston
284,R_7CCoGJRhaNeaCnK,Yanny,75,65,14,14,12,13,12,10,3.648648649,3.555555556,3.777777778,4.333333333,3.714285714,2.833333333,3.722222222,89,25,3,2,7,0,3,2,3,2,0,2,22,boston
285,R_7CG72fqLDAhnQHL,Yanny,99,82,19,12,20,16,15,17,5.72972973,5.222222222,6.333333333,6.833333333,3.857142857,6.666666667,5.5,146,19,1,1,3,0,4,2,4,3,0,1,15,boston
286,R_7dGuKwIjHfKYiE4,Yanny,98,79,14,13,18,18,16,19,4.594594595,4.333333333,4.777777778,1.833333333,5.714285714,6.166666667,4.111111111,148,12,2,1,2,0,0,3,2,1,0,0,12,boston
287,R_7E4pZa9IKKV6QPD,Laurel,80,71,8,16,16,13,18,9,4.27027027,5.111111111,4.888888889,2.166666667,4.142857143,4.333333333,3.888888889,87,22,2,1,2,0,5,3,5,3,0,1,17,boston
288,R_7EhtPiqVjZjuuBe,Yanny,79,74,12,11,19,15,17,5,4.567567568,4.555555556,6,2.5,3.142857143,6.166666667,3.555555556,88,4,1,0,0,0,2,0,1,0,0,0,2,boston
289,R_7fzEKM4lugSKD85,Yanny,118,98,20,20,20,18,20,20,6.324324324,6.111111111,6.666666667,4.833333333,6.857142857,7,6.222222222,168,1,0,0,0,0,0,0,0,0,0,1,1,boston
290,R_7gMhRekXIW2B6hj,Laurel,100,89,18,16,20,16,19,11,5.864864865,4.111111111,6.777777778,4.833333333,7,6.833333333,5.833333333,113,7,1,0,2,1,3,0,0,0,0,0,4,boston
291,R_7HS95mkcmGSNm9p,Yanny,116,97,20,18,20,19,20,19,5.783783784,5.777777778,6.333333333,4.833333333,5.142857143,6.666666667,5.444444444,152,5,1,0,2,0,0,1,0,0,0,1,5,boston
292,R_7ILunRVPq8EhjlD,Laurel,88,78,14,20,16,16,12,10,3.297297297,1.666666667,6,2,2.285714286,4.166666667,2.333333333,84,21,1,0,6,1,4,3,3,2,0,1,17,boston
293,R_7ipRgHWTzyZBZS7,Laurel,117,97,20,19,20,19,19,20,5.378378378,5.555555556,6.333333333,2.5,5,7,4.777777778,158,2,0,1,1,0,0,0,0,0,0,0,2,boston
294,R_7iXtjcTlKTvh6BG,Laurel,90,75,14,14,17,17,13,15,3.351351351,3.444444444,4.444444444,1,3.142857143,4.166666667,2.388888889,105,12,1,0,3,0,0,3,2,2,0,1,12,boston
295,R_7j9BLyklOtWecR8,Laurel,85,76,15,14,18,14,15,9,4.72972973,4.222222222,5.111111111,4.666666667,4.571428571,5.166666667,4.333333333,85,15,2,1,3,0,5,0,1,1,1,0,10,boston
296,R_7jgNl84UnbE8WB3,Yanny,59,53,7,14,16,9,7,6,2.594594595,1.444444444,4.333333333,2,1.428571429,3.666666667,1.555555556,51,19,3,3,3,1,5,1,1,0,0,1,14,boston
297,R_7JIxbxZvT6rflNw,Yanny,94,86,18,17,20,17,14,8,3.513513514,2.888888889,5.666666667,3,1.428571429,4.166666667,2.5,54,16,1,2,4,1,3,2,1,1,0,1,13,boston
298,R_7JnxQiA1Phk7sVr,Laurel,99,82,20,18,16,13,15,17,5.378378378,4.222222222,6.444444444,3.5,5.857142857,6.833333333,4.833333333,154,2,0,0,0,0,1,0,1,0,0,0,1,boston
299,R_7jUno4heZjxdBkC,Laurel,106,86,20,12,20,18,16,20,3.918918919,4.888888889,4.444444444,1,2.285714286,6.5,2.5,160,1,0,0,0,0,0,0,1,0,0,0,1,boston
300,R_7JV2T8Gr26FBPoo,Laurel,85,74,14,15,16,14,15,11,3.702702703,3.444444444,4.222222222,2.833333333,3.571428571,4.333333333,3.444444444,106,8,1,0,3,0,2,0,1,1,0,0,6,boston
301,R_7JXfsV1KD91UbSR,Laurel,97,81,20,13,18,15,15,16,4.702702703,3.666666667,6,3.333333333,4.142857143,6.333333333,4.166666667,120,16,1,1,5,0,2,1,3,3,0,0,14,boston
302,R_7ktc7pjrPzhpK1K,Laurel,113,96,19,20,20,18,19,17,4.621621622,4.888888889,4.777777778,3,4.571428571,5.666666667,4.111111111,147,7,0,1,0,0,1,1,4,0,0,0,6,boston
303,R_7ktfMyh1iyw7OHD,Laurel,78,67,13,9,17,16,12,11,2.945945946,3,4.888888889,1,1.428571429,3.666666667,2.111111111,96,19,1,0,4,1,5,1,6,1,0,0,14,boston
304,R_7l0jeNb0anUIu5j,Yanny,120,100,20,20,20,20,20,20,6.459459459,6.777777778,7,5.5,5.714285714,7,6.5,164,5,1,0,1,0,1,0,1,1,0,0,4,boston
305,R_7L8g2oj5TzCqbvK,Yanny,83,71,10,12,20,14,15,12,4.27027027,4.666666667,4.666666667,2.5,5.428571429,3.5,4.5,104,15,2,1,3,0,4,0,3,1,0,0,11,boston
306,R_7LG356IGP641njK,Yanny,113,96,20,19,20,17,20,17,6.540540541,6,7,6.333333333,6.571428571,6.833333333,6.444444444,141,0,0,0,0,0,0,0,0,0,0,0,0,boston
307,R_7LuK8v0T8VrJnzN,Yanny,99,85,18,16,19,16,16,14,4.162162162,3.444444444,5.333333333,2,4.285714286,5.5,3.388888889,122,7,1,0,5,0,1,0,0,0,0,0,6,boston
308,R_7Ms5vaklVc1SSMb,Laurel,92,77,17,16,15,14,15,15,3.783783784,4.333333333,4.111111111,1.666666667,4.285714286,4,3.5,130,29,3,4,5,1,4,3,4,3,1,0,25,boston
309,R_7msjDIwdyrgA1jd,Yanny,78,72,17,16,14,12,13,6,2.891891892,2.444444444,3.222222222,3,2.428571429,3.5,2.444444444,54,7,1,0,1,1,0,1,1,2,0,0,7,boston
310,R_7nVfU2MMXXYP4s5,Laurel,85,75,15,15,15,16,14,10,3.324324324,3.333333333,4.444444444,1.5,2.857142857,4,2.611111111,91,20,0,1,5,1,4,3,1,3,0,2,16,boston
311,R_7oOdjfXAlVe7yBX,Laurel,83,65,15,10,19,11,10,18,3.567567568,3.222222222,5,1,2.428571429,5.833333333,2.388888889,112,33,4,2,7,1,8,2,5,2,0,1,25,boston
312,R_7OrjcGsMNS0uIkz,Laurel,96,81,14,20,19,17,11,15,3.945945946,3.888888889,5.222222222,1,3.571428571,5.5,3.111111111,123,23,1,0,6,0,5,5,1,3,0,1,18,boston
313,R_7p0yAzCgMi2hbRD,Laurel,65,60,16,8,15,14,7,5,2.864864865,2.888888889,3.222222222,1.333333333,2.428571429,4.333333333,2.055555556,48,21,3,2,3,1,3,1,6,2,0,0,18,boston
314,R_7q3fGTZMjY8TYVa,Laurel,109,97,20,19,20,19,19,12,6.351351351,6.222222222,6.888888889,5.5,6,7,5.888888889,128,9,2,1,2,0,2,1,0,1,0,0,7,boston
315,R_7Q5vjS8zj4uFInC,Yanny,110,93,20,19,20,17,17,17,5.027027027,5.333333333,5.111111111,4.166666667,5,5.333333333,4.777777778,151,8,0,1,1,0,0,0,3,2,0,0,8,boston
316,R_7qKx8ovrWA5TtVz,Laurel,89,74,13,12,18,17,14,15,4.837837838,4,6,3.666666667,4.571428571,5.833333333,4.111111111,114,14,2,0,5,0,2,1,2,1,0,1,12,boston
317,R_7r51BRVeaPksfQJ,Yanny,70,62,19,13,9,7,14,8,4.027027027,1.555555556,6.777777778,2.833333333,4.285714286,4.5,3.5,73,9,1,0,1,0,2,0,2,2,0,0,7,boston
318,R_7RiSFwLEHsjfOfv,Laurel,95,78,17,15,16,16,14,17,3.648648649,3.333333333,4.666666667,1,3.142857143,5.833333333,2.388888889,126,0,0,0,0,0,0,0,0,0,0,0,0,boston
319,R_7rMK0nyvgb6OYUu,Yanny,78,67,11,19,16,10,11,11,3.891891892,3.444444444,5,3,3.571428571,4.166666667,3.222222222,97,14,1,1,2,0,3,3,1,2,0,1,11,boston
320,R_7rOsFhZMPeCSZSN,Yanny,62,54,16,11,10,8,9,8,2.621621622,1.888888889,3.777777778,1.333333333,2.714285714,3.166666667,2.111111111,69,18,1,1,1,0,5,5,3,2,0,0,13,boston
321,R_7ruGrXHUyTLWCBn,Yanny,112,93,20,20,20,14,19,19,5.918918919,4.333333333,6.888888889,5.666666667,6.285714286,6.666666667,6.055555556,146,4,2,0,1,0,0,0,0,0,0,0,4,boston
322,R_7S3RXu8n0Q5s2t3,Laurel,107,90,18,20,18,18,16,17,3.513513514,3.777777778,4.333333333,1,2.571428571,5.5,2.388888889,133,14,1,0,1,0,3,2,4,2,0,0,11,boston
323,R_7S564V2mUUjnzuV,Laurel,99,82,20,18,20,13,11,17,3.540540541,2.777777778,5.111111111,1,3,5.5,2.444444444,142,10,0,0,0,0,2,0,5,1,0,1,8,boston
324,R_7TLhMvhbrpuRpIt,Yanny,75,66,17,20,20,4,5,9,2.567567568,1.444444444,3.222222222,2.166666667,3.285714286,2.833333333,2.222222222,81,23,3,3,5,0,3,0,4,2,1,1,20,boston
325,R_7UoqWi0FT6bzwAN,Yanny,105,90,20,16,20,18,16,15,4.108108108,4,5.555555556,1.5,4,4.833333333,3.166666667,131,11,3,2,1,0,2,1,1,0,0,1,9,boston
326,R_7uTWORMdj6F6y6t,Yanny,92,82,18,15,18,17,14,10,3.162162162,3.111111111,3.666666667,2.333333333,3.142857143,3.333333333,3,92,18,4,1,2,0,5,1,2,1,1,0,13,boston
327,R_7VsnHioTrdzuLg5,Yanny,105,94,20,18,20,20,16,11,5,4.222222222,5.777777778,3.833333333,4.571428571,6.666666667,4.5,100,12,4,2,2,0,2,1,0,1,0,0,10,boston
328,R_7Wk6ieq2nizs9Dr,Yanny,106,87,18,18,18,18,15,19,4.27027027,4.666666667,4.666666667,1.666666667,3.571428571,6.5,3.555555556,141,15,2,3,2,0,1,2,2,1,1,0,14,boston
329,R_7yjb1XUjYjOvhoG,Yanny,89,75,16,13,16,13,17,14,4.081081081,4.444444444,4.222222222,1.833333333,4.714285714,4.833333333,3.722222222,120,13,1,1,3,0,3,2,1,0,0,1,10,boston
330,R_7ZCah7a97Nvv7RF,Yanny,94,78,16,16,18,13,15,16,4.081081081,3.666666667,4.888888889,1.833333333,4.428571429,5.333333333,3.555555556,124,4,1,2,1,0,0,0,0,0,0,0,4,boston
331,R_85AG4m0XRIRx1gl,Yanny,114,96,20,16,20,20,20,18,5.702702703,6,6.111111111,2.666666667,6.857142857,6.333333333,5.277777778,154,2,0,0,0,0,1,0,1,0,0,0,1,boston
332,R_8akPQeCOvdaB7Ll,Yanny,104,91,18,20,18,17,18,13,5.054054054,3.111111111,6.333333333,4.666666667,5,6.5,4.5,112,8,1,0,1,0,1,1,2,1,0,0,7,boston
333,R_8CJIMXzksPjK99u,Yanny,27,22,5,4,5,4,4,5,1.108108108,1,1,1,1.428571429,1.166666667,1,35,29,4,1,6,0,9,3,2,1,1,1,20,boston
334,R_8cpjI4ZuCf9NXgP,Yanny,77,61,10,4,20,15,12,16,3.621621622,1.666666667,6,1.666666667,3.142857143,5.5,2.833333333,115,13,1,1,2,0,5,0,3,1,0,0,8,boston
335,R_8DUre4vtGeSd1UJ,Yanny,112,96,20,20,20,19,17,16,5.297297297,5.333333333,6.222222222,2.833333333,5.285714286,6.333333333,4.666666667,142,19,1,0,4,1,4,3,2,2,0,1,15,boston
336,R_8EGYGuIqac9niiq,Laurel,108,90,18,16,20,17,19,18,6.162162162,5.333333333,7,5.333333333,6.142857143,7,6,152,7,1,0,3,0,2,0,1,0,0,0,5,boston
337,R_8EsWYOI3QySk8WM,Yanny,92,86,20,17,19,16,14,6,4.243243243,4.111111111,5.444444444,1.5,3.857142857,5.833333333,3.166666667,89,13,1,1,6,1,3,0,1,0,0,0,10,boston
338,R_8fiNHHHr8UD0DLZ,Yanny,76,70,11,12,18,16,13,6,3.081081081,3,4,1,2.285714286,4.833333333,2,73,24,0,2,5,1,4,1,5,3,1,1,20,boston
339,R_8FldGrXmrYoOErD,Yanny,57,53,14,9,14,6,10,4,2.459459459,1.777777778,3.888888889,1,2.571428571,2.666666667,1.777777778,40,15,0,0,2,0,4,2,5,2,0,0,11,boston
340,R_8MFPtlNWUMdfNvO,Yanny,98,83,16,20,19,14,14,15,4.216216216,4.666666667,4.777777778,1.166666667,4.571428571,5.333333333,4,119,7,0,1,2,0,0,1,1,1,0,0,7,boston
341,R_8oihbNDGhF7bTih,Laurel,67,59,12,15,10,9,13,8,4.405405405,2,6.222222222,4.833333333,5.142857143,4,4.833333333,56,18,1,0,2,0,3,3,6,2,0,1,15,boston
342,R_8pY6V1hoZKcqFee,Yanny,100,83,17,18,20,17,11,17,4.432432432,4.666666667,5.666666667,1.5,3.571428571,6.166666667,3.555555556,129,16,2,0,3,0,4,2,2,3,0,0,12,boston
343,11226458,Laurel,95,82,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,birkbeck
344,11228201,Yanny,85,69,14,13,15,17,10,16,3.7297,3.8889,4.8889,1.1667,2.5714,5.6667,2.5556,112,13,1,0,3,0,3,1,2,2,0,1,10,birkbeck
345,11233406,Yanny,90,78,15,12,20,15,16,12,3.6486,4,4.1111,2.5,2.5714,4.8333,2.8333,133,15,1,2,2,0,4,3,2,1,1,0,11,birkbeck
346,11234568,Yanny,85,77,17,17,18,13,12,8,3.6486,2.7778,4.7778,2.5,3.5714,4.5,2.8333,78,8,1,1,1,0,1,1,1,2,0,0,7,birkbeck
347,11237637,Laurel,77,67,17,19,12,9,10,10,4.2432,2.8889,6.5556,1.1667,5.2857,4.6667,3.5,85,25,4,1,6,0,4,3,2,2,1,2,21,birkbeck
348,11238848,Yanny,85,75,13,18,18,13,13,10,4.4324,3.5556,5.7778,2.1667,5.4286,4.8333,4.1111,103,13,3,1,1,0,3,2,3,0,0,0,10,birkbeck
349,11370012,Yanny,100,83,17,14,18,19,15,17,3.6757,4,3.5556,2.5,2.8571,5.5,3.1667,142,17,1,5,1,0,4,1,1,2,1,0,13,birkbeck
350,11370036,Laurel,88,76,16,12,19,15,14,12,3.1622,2.8889,3.6667,1.6667,3.1429,4.3333,2.3889,98,20,1,1,2,1,5,6,1,1,0,1,15,birkbeck
351,11370048,Yanny,111,92,18,20,20,18,16,19,5.4324,5.7778,5.7778,3.5,5.5714,6.1667,4.7222,162,18,2,3,3,1,4,3,0,1,0,1,14,birkbeck
352,11370055,Yanny,92,79,18,15,17,16,13,13,3.6486,4.7778,4.3333,0.66667,2,5.8333,2.1667,114,18,1,2,5,0,1,2,2,2,1,1,17,birkbeck
353,11370068,Yanny,93,81,15,19,16,15,16,12,3.7297,3.7778,4.6667,2.1667,2.7143,5,2.8333,126,22,1,3,1,0,5,5,3,2,1,0,17,birkbeck
354,11370075,Laurel,79,68,20,13,10,17,8,11,3.7027,4.5556,5.2222,0.66667,1.1429,6.1667,2.1111,88,16,1,0,3,0,4,2,2,2,0,1,12,birkbeck
355,11370079,Laurel,80,70,19,17,15,8,11,10,3.7838,2,4.8889,2.6667,3.2857,6.5,2.9444,96,17,2,1,5,0,4,2,2,0,0,0,13,birkbeck
356,11370094,Laurel,103,87,15,19,19,17,17,16,4.4865,4.6667,5.4444,3,3.5714,5.3333,3.7778,133,7,0,0,2,0,1,1,2,1,0,0,6,birkbeck
357,11370102,Laurel,92,78,18,12,20,13,15,14,4.1892,4.1111,4.5556,3,4.2857,4.8333,3.8889,130,16,2,0,1,0,6,4,2,1,1,0,10,birkbeck
358,11370107,Yanny,98,84,13,18,19,17,17,14,3.7297,4.6667,4.2222,3,2.5714,3.6667,3.4444,103,9,1,0,3,0,3,1,0,0,0,1,6,birkbeck
359,11370478,Laurel,65,58,10,12,13,11,12,7,2.1892,2,3.1111,0.83333,1.7143,3,1.5,64,10,3,1,2,0,2,1,1,0,0,0,8,birkbeck
360,11370458,Laurel,75,62,14,11,16,10,11,13,3.2162,2.6667,4.7778,0.66667,2.5714,5,2.2778,89,18,0,1,5,1,4,2,3,0,1,1,14,birkbeck
361,11370468,Laurel,103,90,20,17,20,16,17,13,4.3514,3.5556,4.8889,3,4.5714,5.8333,3.7222,115,5,3,0,0,1,0,1,0,0,0,0,5,birkbeck
362,11370476,Laurel,108,91,20,20,20,15,16,17,4.8649,5.4444,5.7778,0.66667,4.8571,6.8333,3.8333,144,11,2,3,4,0,0,1,0,0,0,0,11,birkbeck
363,11370461,Laurel,81,67,13,11,17,14,12,14,2.973,3.7778,3.6667,0.66667,2.5714,3.5,2.1667,122,16,0,2,4,0,2,4,2,1,0,1,14,birkbeck
364,11370454,Yanny,91,75,13,16,16,14,16,16,3.027,3.1111,3.1111,1.6667,3.2857,3.8333,2.5,126,8,1,1,3,0,0,2,0,0,0,1,8,birkbeck
365,11370460,Yanny,100,84,16,13,20,17,18,16,3.5946,4.3333,3.8889,0.83333,3.8571,4.5,3,139,18,0,2,1,0,5,4,4,1,0,1,13,birkbeck
366,11370479,Yanny,87,72,17,12,17,13,13,15,3.1622,2.6667,4.2222,0.66667,2.5714,5.5,2.0556,120,16,0,0,3,1,3,2,3,2,0,1,13,birkbeck
367,11370466,Yanny,59,51,16,10,8,7,10,8,2.3243,1.6667,3.3333,0.66667,3,2.6667,2,76,25,2,3,5,0,6,1,7,1,0,0,19,birkbeck
368,11370459,Laurel,76,62,8,15,17,9,13,14,2.7838,2.6667,3.2222,0.66667,2.8571,4.3333,1.8889,106,14,3,1,1,0,4,2,1,1,0,1,10,birkbeck
369,11370475,Laurel,81,67,19,12,11,10,15,14,4.2973,2,6,5.3333,3.7143,4.8333,3.6111,95,17,1,0,7,0,3,2,2,0,0,1,14,birkbeck
370,11370469,Laurel,84,74,17,15,15,14,13,10,3.6486,3.4444,4.7778,1.1667,2.8571,5.6667,2.5,97,10,0,1,4,0,0,1,2,0,0,1,10,birkbeck
371,11370453,Laurel,87,71,13,10,20,17,11,16,3.6757,5.4444,4.8889,1.5,0.71429,4.8333,2.3889,110,17,0,1,8,0,2,3,1,0,0,1,15,birkbeck
372,11370457,Yanny,58,51,14,12,5,8,12,7,3.4054,2,6.3333,3.1667,2,3,2.3333,72,21,2,0,5,0,5,3,3,2,0,1,16,birkbeck
373,11370464,Yanny,102,92,19,18,19,16,20,10,5.6757,4.3333,6.4444,5.5,6.2857,6,5.2222,108,10,0,1,4,0,1,1,3,0,0,0,9,birkbeck
374,11370467,Yanny,80,64,18,6,16,12,12,16,3.1081,2.6667,4,0.66667,2.2857,5.8333,1.8333,113,18,1,2,6,0,3,2,2,1,0,1,15,birkbeck
375,11370450,Laurel,95,80,14,18,19,14,15,15,3.8378,3.3333,4.3333,2,4.4286,5,3.4444,129,25,3,3,3,1,3,7,3,3,0,0,22,birkbeck
376,11370473,Laurel,74,63,12,11,14,12,14,11,2.973,3.3333,3.3333,2.1667,3,2.6667,2.9444,105,26,1,1,4,0,5,5,4,3,1,2,21,birkbeck
377,11370477,Laurel,101,85,20,18,16,15,16,16,4.2162,4.5556,5.5556,1.5,3.2857,5.5,3.1111,134,9,0,2,1,0,1,1,1,2,0,0,8,birkbeck
378,11370470,Yanny,94,81,19,20,17,11,14,13,3.1081,1.8889,3.7778,1.6667,3.5714,4.8333,2.6111,99,25,4,3,1,0,4,3,5,2,1,0,21,birkbeck
379,11370452,Yanny,82,70,14,14,19,13,10,12,3.4054,2.7778,4.8889,1,2.2857,5.8333,2.3333,94,13,0,0,5,0,5,1,2,0,0,0,8,birkbeck
380,11370463,Laurel,80,68,14,10,16,14,14,12,3.1892,2.5556,4.4444,2.8333,1.8571,4.1667,2.5556,106,18,1,4,2,0,6,2,3,0,0,0,12,birkbeck
381,11370483,Laurel,69,61,11,6,19,14,11,8,2.8919,3.6667,4,0.66667,1,4.5,1.6667,59,16,1,1,3,0,5,1,2,0,0,1,11,birkbeck
382,11370495,Yanny,102,88,20,15,20,13,20,14,4.7568,3.3333,6,4.5,4.8571,5.1667,4.4444,112,19,1,3,4,1,3,3,2,3,0,0,16,birkbeck
383,11370549,Laurel,85,71,16,14,15,12,14,14,3.3514,3.7778,3.3333,1.6667,3.7143,4,2.9444,108,14,2,0,1,1,4,4,1,1,0,0,10,birkbeck
384,11370500,Laurel,102,82,19,18,17,12,16,20,2.4054,2,2,0.83333,3,4.5,1.9444,146,9,1,1,2,0,0,2,3,1,0,0,9,birkbeck
385,11370518,Laurel,87,76,19,20,16,7,14,11,2.973,1.8889,4.2222,0.83333,3,4.8333,2,91,10,1,0,4,0,0,2,0,2,0,1,10,birkbeck
386,11370532,Yanny,101,86,18,20,16,14,18,15,4.8919,3.1111,5.8889,4.3333,5.7143,5.6667,4.4444,122,15,2,2,3,1,3,1,1,2,0,0,12,birkbeck
387,11370551,Yanny,95,79,16,16,17,17,13,16,3.7027,3.8889,4.2222,1.1667,3.7143,5.1667,2.8333,123,12,2,1,1,1,2,3,1,1,0,0,10,birkbeck
388,11370482,Laurel,81,67,8,16,20,16,7,14,4.5405,4,6,2.5,4.4286,5.3333,4.3333,97,26,2,3,5,0,7,3,2,2,1,1,19,birkbeck
389,11370511,Yanny,84,69,14,17,17,13,8,15,3.1892,3,4.1111,0.66667,2.8571,5,1.9444,99,19,3,2,4,1,3,2,2,0,0,1,16,birkbeck
390,11370523,Yanny,97,81,15,20,18,14,14,16,3.7297,2.8889,5.1111,1,4,5.3333,2.4444,115,11,1,0,3,0,3,1,0,2,0,1,8,birkbeck
391,11370535,Yanny,104,87,19,18,20,15,15,17,3.7838,4.5556,4.3333,0.83333,2.7143,6,2.4444,128,6,1,0,1,1,1,1,0,0,0,1,5,birkbeck
392,11370526,Yanny,76,66,17,17,14,5,13,10,2.4324,1.2222,3.4444,1.5,2.1429,4,1.6667,84,13,3,1,4,0,1,1,1,2,0,0,12,birkbeck
